,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7335,0.7267,0.6471,0.0667,0.1209,0.1613,0.803
0_1,0.6304,0.6115,0.4118,0.0446,0.0805,0.0809,0.803
0_2,0.6742,0.6586,0.4706,0.0615,0.1088,0.1238,0.8387
0_3,0.7113,0.6991,0.5882,0.0621,0.1124,0.143,0.8054
0_4,0.726,0.691,0.5882,0.0575,0.1047,0.1333,0.7894
0_5,0.6766,0.6557,0.5,0.0506,0.092,0.1093,0.8052
0_6,0.7369,0.736,0.6471,0.0733,0.1317,0.1742,0.8212
0_7,0.8176,0.7629,0.7059,0.0774,0.1395,0.1916,0.8175
0_8,0.7328,0.7123,0.5882,0.0714,0.1274,0.1609,0.8311
0_9,0.7208,0.7248,0.5882,0.0833,0.146,0.1814,0.8557
0_Mean,0.716,0.6979,0.5735,0.0649,0.1164,0.146,0.817
0_SD,0.0496,0.0451,0.089,0.012,0.0208,0.0347,0.02
Mean,0.716,0.6979,0.5735,0.0648,0.1164,0.146,0.817
SD,0.0496,0.0451,0.089,0.012,0.0208,0.0347,0.02
