,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7499,0.769,0.5882,0.2,0.2985,0.3204,0.9421
0_1,0.556,0.5881,0.2353,0.0784,0.1176,0.104,0.9261
0_2,0.5999,0.6563,0.3529,0.1579,0.2182,0.212,0.947
0_3,0.7672,0.7139,0.4706,0.1905,0.2712,0.2766,0.947
0_4,0.8442,0.7959,0.6471,0.2,0.3056,0.3371,0.9384
0_5,0.7949,0.6967,0.4375,0.1667,0.2414,0.2469,0.9457
0_6,0.876,0.7158,0.4706,0.2051,0.2857,0.2889,0.9507
0_7,0.7123,0.7107,0.4706,0.1702,0.25,0.2584,0.9408
0_8,0.7723,0.7752,0.5882,0.25,0.3509,0.3642,0.9544
0_9,0.7702,0.7477,0.5294,0.25,0.3396,0.3446,0.9568
0_Mean,0.7443,0.7169,0.479,0.1869,0.2679,0.2753,0.9449
0_SD,0.0996,0.0615,0.121,0.0494,0.0673,0.0769,0.0088
Mean,0.7443,0.7169,0.479,0.1869,0.2679,0.2753,0.9449
SD,0.0996,0.0615,0.121,0.0494,0.0673,0.0769,0.0088
