,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7312,0.6888,0.4,0.1818,0.25,0.2565,0.9704
0_1,0.7673,0.5813,0.2,0.0625,0.0952,0.0922,0.9532
0_2,0.8387,0.7319,0.5,0.1471,0.2273,0.2554,0.9581
0_3,0.7362,0.585,0.2,0.0769,0.1111,0.1065,0.9606
0_4,0.9086,0.7142,0.4545,0.1923,0.2703,0.2812,0.9667
0_5,0.6702,0.7154,0.4545,0.2083,0.2857,0.2941,0.9692
0_6,0.6832,0.6687,0.3636,0.16,0.2222,0.2258,0.9655
0_7,0.5487,0.5753,0.1818,0.0741,0.1053,0.0971,0.9581
0_8,0.6537,0.6662,0.3636,0.1379,0.2,0.2071,0.9606
0_9,0.5816,0.5894,0.2,0.1053,0.1379,0.1304,0.9692
0_Mean,0.712,0.6516,0.3318,0.1346,0.1905,0.1946,0.9632
0_SD,0.1097,0.0627,0.1246,0.0526,0.0721,0.0802,0.0058
Mean,0.7119,0.6516,0.3318,0.1346,0.1905,0.1946,0.9632
SD,0.1097,0.0627,0.1246,0.0525,0.0721,0.0802,0.0058
