,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7904,0.7142,0.4545,0.1923,0.2703,0.2813,0.9668
0_1,0.8185,0.7142,0.4545,0.1923,0.2703,0.2813,0.9668
0_2,0.6178,0.5759,0.1818,0.0769,0.1081,0.0997,0.9594
0_3,0.7215,0.7104,0.4545,0.1562,0.2326,0.2501,0.9594
0_4,0.6798,0.5357,0.1,0.0417,0.0588,0.0464,0.9606
0_5,0.6908,0.6882,0.4,0.1739,0.2424,0.2502,0.9692
0_6,0.5752,0.6906,0.4,0.2105,0.2759,0.2782,0.9741
0_7,0.8343,0.6869,0.4,0.16,0.2286,0.2387,0.9667
0_8,0.7849,0.7357,0.5,0.1786,0.2632,0.2849,0.9655
0_9,0.7089,0.6612,0.3636,0.1081,0.1667,0.1787,0.9507
0_Mean,0.7222,0.6713,0.3709,0.1491,0.2117,0.2189,0.9639
0_SD,0.0856,0.0648,0.1288,0.0554,0.0756,0.084,0.0065
Mean,0.7222,0.6713,0.3709,0.1491,0.2117,0.219,0.9639
SD,0.0856,0.0648,0.1288,0.0554,0.0756,0.0841,0.0065
