,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7322,0.7564,0.56,0.2745,0.3684,0.3651,0.9406
0_1,0.8551,0.8332,0.72,0.3,0.4235,0.4401,0.9394
0_2,0.7788,0.7713,0.6,0.25,0.3529,0.3583,0.9319
0_3,0.7627,0.6977,0.44,0.2391,0.3099,0.2954,0.9394
0_4,0.8282,0.7693,0.6,0.2381,0.3409,0.3479,0.9282
0_5,0.7723,0.6808,0.4,0.25,0.3077,0.2887,0.9443
0_6,0.7295,0.7164,0.48,0.2449,0.3243,0.314,0.9381
0_7,0.8308,0.7732,0.6,0.2632,0.3659,0.3695,0.9356
0_8,0.8233,0.7732,0.6,0.2632,0.3659,0.3695,0.9356
0_9,0.8427,0.7828,0.6154,0.2909,0.3951,0.3962,0.9394
0_Mean,0.7956,0.7554,0.5615,0.2614,0.3554,0.3545,0.9373
0_SD,0.0461,0.0451,0.0951,0.0214,0.0367,0.0461,0.0046
Mean,0.7956,0.7554,0.5615,0.2614,0.3554,0.3545,0.9372
SD,0.0461,0.0451,0.0951,0.0214,0.0367,0.0461,0.0046
