,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7116,0.7432,0.5,0.1667,0.25,0.2823,0.9837
0_1,0.7242,0.6619,0.3333,0.125,0.1818,0.1989,0.9877
0_2,0.4927,0.4938,0.0,0.0,,-0.0071,0.9836
0_3,0.4973,0.6591,0.3333,0.0833,0.1333,0.1601,0.9823
0_4,0.9804,0.8237,0.6667,0.125,0.2105,0.2829,0.9795
0_5,0.6635,0.4945,0.0,0.0,,-0.0067,0.985
0_6,0.8817,0.8272,0.6667,0.1818,0.2857,0.3436,0.9864
0_7,0.6402,0.6632,0.3333,0.1667,0.2222,0.2313,0.9905
0_8,0.9539,0.6626,0.3333,0.1429,0.2,0.2134,0.9891
0_9,0.7258,0.8272,0.6667,0.1818,0.2857,0.3436,0.9864
0_Mean,0.7271,0.6856,0.3833,0.1173,0.2212,0.2042,0.9854
0_SD,0.1697,0.1239,0.2491,0.0688,0.0521,0.1261,0.0033
Mean,0.7271,0.6856,0.3833,0.1173,0.2212,0.2042,0.9854
SD,0.1697,0.1239,0.2491,0.0688,0.0521,0.1261,0.0033
