,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7268,0.5943,0.2353,0.0976,0.1379,0.1234,0.9383
0_1,0.7071,0.6519,0.3529,0.1333,0.1935,0.1901,0.9383
0_2,0.5997,0.6275,0.2941,0.1389,0.1887,0.1774,0.947
0_3,0.656,0.5656,0.1765,0.0769,0.1071,0.0878,0.9383
0_4,0.5008,0.528,0.1176,0.0392,0.0588,0.033,0.9211
0_5,0.516,0.5618,0.1765,0.0667,0.0968,0.0773,0.9309
0_6,0.5463,0.5074,0.0588,0.0278,0.0377,0.0103,0.9371
0_7,0.4316,0.5292,0.1176,0.0408,0.0606,0.0351,0.9236
0_8,0.5933,0.5649,0.1765,0.075,0.1053,0.0859,0.9371
0_9,0.6228,0.5612,0.1765,0.0652,0.0952,0.0758,0.9297
0_Mean,0.59,0.5692,0.1882,0.0761,0.1082,0.0896,0.9342
0_SD,0.0933,0.0449,0.0868,0.0378,0.0523,0.0594,0.0078
Mean,0.59,0.5692,0.1882,0.0761,0.1082,0.0896,0.9341
SD,0.0933,0.0449,0.0868,0.0378,0.0523,0.0594,0.0078
