,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5226,0.5264,0.25,0.0069,0.0134,0.0098,0.7997
0_1,0.5461,0.5489,0.3333,0.0058,0.0114,0.0147,0.7626
0_2,0.4021,0.4062,0.0,0.0,,-0.0307,0.809
0_3,0.4027,0.4068,0.0,0.0,,-0.0306,0.8104
0_4,0.6614,0.5434,0.3333,0.0055,0.0109,0.0128,0.7517
0_5,0.4048,0.4082,0.0,0.0,,-0.0303,0.8131
0_6,0.7253,0.7285,0.6667,0.0129,0.0253,0.0715,0.7899
0_7,0.5265,0.4041,0.0,0.0,,-0.0311,0.8049
0_8,0.5413,0.5475,0.3333,0.0057,0.0112,0.0142,0.7599
0_9,0.7438,0.7457,0.6667,0.0154,0.0301,0.0821,0.824
0_Mean,0.5477,0.5266,0.2583,0.0052,0.017,0.0082,0.7925
0_SD,0.1277,0.1282,0.2619,0.0055,0.0084,0.0417,0.0255
Mean,0.5477,0.5266,0.2583,0.0052,0.017,0.0082,0.7925
SD,0.1277,0.1282,0.2619,0.0055,0.0084,0.0417,0.0255
