,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7359,0.6686,0.3659,0.4054,0.3846,0.354,0.9406
0_1,0.7116,0.58,0.1951,0.2286,0.2105,0.1724,0.9257
0_2,0.7836,0.6942,0.425,0.3778,0.4,0.3675,0.9368
0_3,0.703,0.6001,0.225,0.3214,0.2647,0.2375,0.938
0_4,0.7448,0.6483,0.35,0.2545,0.2947,0.2554,0.917
0_5,0.7731,0.6535,0.35,0.2979,0.3218,0.2845,0.9269
0_6,0.8182,0.6442,0.325,0.3171,0.321,0.2851,0.9318
0_7,0.713,0.6692,0.375,0.3488,0.3614,0.3271,0.9343
0_8,0.8124,0.71,0.45,0.439,0.4444,0.4151,0.9442
0_9,0.7678,0.6564,0.3415,0.3889,0.3636,0.3327,0.9393
0_Mean,0.7563,0.6525,0.3402,0.3379,0.3367,0.3031,0.9335
0_SD,0.0414,0.039,0.0788,0.0669,0.0688,0.0708,0.0082
Mean,0.7563,0.6524,0.3402,0.3379,0.3367,0.3031,0.9335
SD,0.0414,0.039,0.0788,0.0669,0.0688,0.0708,0.0082
