,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7453,0.6121,0.2381,0.3125,0.2703,0.2559,0.9666
0_1,0.7971,0.5838,0.1905,0.1818,0.186,0.1639,0.9567
0_2,0.7362,0.56,0.1429,0.1429,0.1429,0.12,0.9554
0_3,0.6333,0.587,0.1905,0.2353,0.2105,0.1929,0.9629
0_4,0.7386,0.5844,0.1905,0.1905,0.1905,0.1689,0.9579
0_5,0.6508,0.5381,0.0952,0.1176,0.1053,0.0845,0.9579
0_6,0.6772,0.6063,0.2381,0.2,0.2174,0.1954,0.9554
0_7,0.8325,0.7549,0.5238,0.5,0.5116,0.4984,0.974
0_8,0.8342,0.5858,0.1818,0.3333,0.2353,0.2309,0.9678
0_9,0.7748,0.6295,0.2857,0.2222,0.25,0.2293,0.9554
0_Mean,0.742,0.6042,0.2277,0.2436,0.232,0.214,0.961
0_SD,0.0709,0.0589,0.1166,0.1124,0.1098,0.1126,0.0065
Mean,0.742,0.6042,0.2277,0.2436,0.232,0.214,0.961
SD,0.0709,0.0589,0.1166,0.1124,0.1098,0.1126,0.0065
