,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.836,0.6351,0.2727,0.6,0.375,0.3993,0.9877
0_1,0.7648,0.7223,0.4545,0.3846,0.4167,0.4095,0.9828
0_2,0.8679,0.5405,0.0909,0.1111,0.1,0.0894,0.9779
0_3,0.919,0.6314,0.2727,0.2727,0.2727,0.2628,0.9803
0_4,0.7719,0.5475,0.1,0.2,0.1333,0.134,0.984
0_5,0.8804,0.6488,0.3,0.6,0.4,0.4194,0.9889
0_6,0.7544,0.5981,0.2,0.4,0.2667,0.2767,0.9865
0_7,0.8332,0.5456,0.1,0.125,0.1111,0.1019,0.9803
0_8,0.9022,0.5981,0.2,0.4,0.2667,0.2767,0.9865
0_9,0.7619,0.5436,0.0909,0.25,0.1333,0.1439,0.984
0_Mean,0.8292,0.6011,0.2082,0.3343,0.2476,0.2514,0.9839
0_SD,0.0625,0.0596,0.1195,0.1748,0.1229,0.1293,0.0036
Mean,0.8292,0.6011,0.2082,0.3343,0.2476,0.2514,0.9839
SD,0.0625,0.0596,0.1195,0.1748,0.1229,0.1293,0.0036
